id_cliente,duration,campaign,pdays,previous,poutcome,y
1,261,1,999,0,nonexistent,no
2,149,1,999,0,nonexistent,no
3,226,1,999,0,nonexistent,no
4,151,1,999,0,nonexistent,no
5,307,1,999,0,nonexistent,no
6,198,1,999,0,nonexistent,no
7,139,1,999,0,nonexistent,no
8,217,1,999,0,nonexistent,no
9,380,1,999,0,nonexistent,no
10,50,1,999,0,nonexistent,no
11,55,1,999,0,nonexistent,no
12,222,1,999,0,nonexistent,no
13,137,1,999,0,nonexistent,no
14,293,1,999,0,nonexistent,no
15,146,1,999,0,nonexistent,no
16,174,1,999,0,nonexistent,no
17,312,1,999,0,nonexistent,no
18,440,1,999,0,nonexistent,no
19,353,1,999,0,nonexistent,no
20,195,1,999,0,nonexistent,no
21,38,1,999,0,nonexistent,no
22,262,1,999,0,nonexistent,no
23,342,1,999,0,nonexistent,no
24,181,1,999,0,nonexistent,no
25,172,1,999,0,nonexistent,no
26,99,1,999,0,nonexistent,no
27,93,1,999,0,nonexistent,no
28,233,1,999,0,nonexistent,no
29,255,2,999,0,nonexistent,no
30,362,1,999,0,nonexistent,no
31,348,1,999,0,nonexistent,no
32,386,1,999,0,nonexistent,no
33,73,1,999,0,nonexistent,no
34,230,1,999,0,nonexistent,no
35,208,1,999,0,nonexistent,no
36,336,1,999,0,nonexistent,no
37,365,1,999,0,nonexistent,no
38,1666,1,999,0,nonexistent,no
39,577,1,999,0,nonexistent,no
40,137,1,999,0,nonexistent,no
41,366,1,999,0,nonexistent,no
42,314,1,999,0,nonexistent,no
43,160,1,999,0,nonexistent,no
44,212,1,999,0,nonexistent,no
45,188,1,999,0,nonexistent,no
46,22,1,999,0,nonexistent,no
47,616,1,999,0,nonexistent,no
48,178,1,999,0,nonexistent,no
49,355,1,999,0,nonexistent,no
50,225,2,999,0,nonexistent,no
51,160,1,999,0,nonexistent,no
52,266,1,999,0,nonexistent,no
53,253,1,999,0,nonexistent,no
54,179,1,999,0,nonexistent,no
55,269,2,999,0,nonexistent,no
56,135,1,999,0,nonexistent,no
57,161,1,999,0,nonexistent,no
58,787,1,999,0,nonexistent,no
59,145,1,999,0,nonexistent,no
60,174,1,999,0,nonexistent,no
61,449,1,999,0,nonexistent,no
62,812,1,999,0,nonexistent,no
63,164,1,999,0,nonexistent,no
64,366,1,999,0,nonexistent,no
65,357,1,999,0,nonexistent,no
66,232,1,999,0,nonexistent,no
67,91,1,999,0,nonexistent,no
68,273,1,999,0,nonexistent,no
69,158,2,999,0,nonexistent,no
70,177,1,999,0,nonexistent,no
71,200,1,999,0,nonexistent,no
72,172,1,999,0,nonexistent,no
73,176,1,999,0,nonexistent,no
74,211,1,999,0,nonexistent,no
75,214,1,999,0,nonexistent,no
76,1575,1,999,0,nonexistent,yes
77,349,1,999,0,nonexistent,no
78,337,2,999,0,nonexistent,no
79,272,1,999,0,nonexistent,no
80,208,1,999,0,nonexistent,no
81,193,1,999,0,nonexistent,no
82,212,1,999,0,nonexistent,no
83,165,2,999,0,nonexistent,no
84,1042,1,999,0,nonexistent,yes
85,20,1,999,0,nonexistent,no
86,246,1,999,0,nonexistent,no
87,529,2,999,0,nonexistent,no
88,192,1,999,0,nonexistent,no
89,1467,1,999,0,nonexistent,yes
90,188,2,999,0,nonexistent,no
91,180,2,999,0,nonexistent,no
92,48,1,999,0,nonexistent,no
93,213,2,999,0,nonexistent,no
94,545,1,999,0,nonexistent,no
95,583,1,999,0,nonexistent,no
96,221,1,999,0,nonexistent,no
97,426,1,999,0,nonexistent,no
98,287,1,999,0,nonexistent,no
99,197,1,999,0,nonexistent,no
100,257,1,999,0,nonexistent,no
101,229,1,999,0,nonexistent,no
102,55,3,999,0,nonexistent,no
103,400,1,999,0,nonexistent,no
104,197,1,999,0,nonexistent,no
105,190,1,999,0,nonexistent,no
106,21,1,999,0,nonexistent,no
107,300,2,999,0,nonexistent,no
108,123,2,999,0,nonexistent,no
109,293,1,999,0,nonexistent,no
110,325,1,999,0,nonexistent,no
111,514,1,999,0,nonexistent,no
112,849,2,999,0,nonexistent,no
113,194,1,999,0,nonexistent,no
114,212,2,999,0,nonexistent,no
115,337,2,999,0,nonexistent,no
116,286,1,999,0,nonexistent,no
117,247,2,999,0,nonexistent,no
118,518,1,999,0,nonexistent,no
119,364,1,999,0,nonexistent,no
120,178,1,999,0,nonexistent,no
121,98,1,999,0,nonexistent,no
122,439,1,999,0,nonexistent,no
123,139,1,999,0,nonexistent,no
124,79,1,999,0,nonexistent,no
125,175,1,999,0,nonexistent,no
126,262,2,999,0,nonexistent,no
127,61,1,999,0,nonexistent,no
128,78,1,999,0,nonexistent,no
129,102,2,999,0,nonexistent,no
130,579,1,999,0,nonexistent,yes
131,143,1,999,0,nonexistent,no
132,677,1,999,0,nonexistent,no
133,267,1,999,0,nonexistent,no
134,345,1,999,0,nonexistent,no
135,185,1,999,0,nonexistent,no
136,207,1,999,0,nonexistent,no
137,69,2,999,0,nonexistent,no
138,100,2,999,0,nonexistent,no
139,125,2,999,0,nonexistent,no
140,461,1,999,0,nonexistent,yes
141,240,1,999,0,nonexistent,no
142,70,1,999,0,nonexistent,no
143,193,1,999,0,nonexistent,no
144,136,1,999,0,nonexistent,no
145,73,1,999,0,nonexistent,no
146,528,1,999,0,nonexistent,no
147,541,1,999,0,nonexistent,no
148,338,1,999,0,nonexistent,no
149,163,1,999,0,nonexistent,no
150,87,1,999,0,nonexistent,no
151,301,1,999,0,nonexistent,no
152,46,1,999,0,nonexistent,no
153,52,1,999,0,nonexistent,no
154,204,1,999,0,nonexistent,no
155,155,1,999,0,nonexistent,no
156,98,1,999,0,nonexistent,no
157,71,1,999,0,nonexistent,no
158,243,1,999,0,nonexistent,no
159,186,2,999,0,nonexistent,no
160,579,2,999,0,nonexistent,no
161,165,2,999,0,nonexistent,no
162,163,2,999,0,nonexistent,no
163,46,1,999,0,nonexistent,no
164,559,3,999,0,nonexistent,no
165,2033,1,999,0,nonexistent,no
166,85,1,999,0,nonexistent,no
167,506,1,999,0,nonexistent,no
168,114,2,999,0,nonexistent,no
169,114,2,999,0,nonexistent,no
170,843,2,999,0,nonexistent,no
171,181,1,999,0,nonexistent,no
172,427,1,999,0,nonexistent,no
173,292,1,999,0,nonexistent,no
174,192,1,999,0,nonexistent,no
175,93,3,999,0,nonexistent,no
176,128,2,999,0,nonexistent,no
177,107,1,999,0,nonexistent,no
178,303,2,999,0,nonexistent,no
179,81,1,999,0,nonexistent,no
180,270,1,999,0,nonexistent,no
181,228,1,999,0,nonexistent,no
182,240,1,999,0,nonexistent,no
183,673,2,999,0,nonexistent,yes
184,233,3,999,0,nonexistent,no
185,102,1,999,0,nonexistent,no
186,461,1,999,0,nonexistent,no
187,250,1,999,0,nonexistent,no
188,130,1,999,0,nonexistent,no
189,252,1,999,0,nonexistent,no
190,138,1,999,0,nonexistent,no
191,412,1,999,0,nonexistent,no
192,179,2,999,0,nonexistent,no
193,19,2,999,0,nonexistent,no
194,228,2,999,0,nonexistent,no
195,55,1,999,0,nonexistent,no
196,717,1,999,0,nonexistent,no
197,313,1,999,0,nonexistent,no
198,289,1,999,0,nonexistent,no
199,683,2,999,0,nonexistent,no
200,1077,1,999,0,nonexistent,no
201,146,2,999,0,nonexistent,no
202,167,1,999,0,nonexistent,no
203,356,2,999,0,nonexistent,no
204,277,1,999,0,nonexistent,no
205,172,1,999,0,nonexistent,no
206,218,1,999,0,nonexistent,no
207,217,1,999,0,nonexistent,no
208,67,1,999,0,nonexistent,no
209,291,1,999,0,nonexistent,no
210,248,1,999,0,nonexistent,no
211,256,1,999,0,nonexistent,no
212,286,1,999,0,nonexistent,no
213,477,1,999,0,nonexistent,no
214,611,2,999,0,nonexistent,no
215,471,1,999,0,nonexistent,no
216,381,2,999,0,nonexistent,no
217,251,1,999,0,nonexistent,no
218,408,1,999,0,nonexistent,no
219,287,1,999,0,nonexistent,no
220,322,3,999,0,nonexistent,no
221,216,2,999,0,nonexistent,no
222,366,2,999,0,nonexistent,no
223,210,1,999,0,nonexistent,no
224,288,1,999,0,nonexistent,no
225,168,1,999,0,nonexistent,no
226,132,1,999,0,nonexistent,no
227,64,2,999,0,nonexistent,no
228,209,2,999,0,nonexistent,no
229,410,3,999,0,nonexistent,no
230,177,1,999,0,nonexistent,no
231,580,2,999,0,nonexistent,no
232,165,1,999,0,nonexistent,no
233,127,2,999,0,nonexistent,no
234,357,1,999,0,nonexistent,no
235,175,1,999,0,nonexistent,no
236,300,1,999,0,nonexistent,no
237,136,1,999,0,nonexistent,no
238,125,2,999,0,nonexistent,no
239,189,2,999,0,nonexistent,no
240,213,3,999,0,nonexistent,no
241,238,2,999,0,nonexistent,no
242,124,1,999,0,nonexistent,no
